AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USW00024110           0R     0R     0R     0R     3R    15R    81R    67R     5R -7777R     0R     0R
USW00024112           0Q     0Q     0Q -7777Q     1Q     6Q    86Q    53Q    12Q -7777Q     0Q     0Q
USW00024119           0R     0R     0R -7777R     2R    32R   137S    89S     8R -7777S     0R     0R
USW00024120           0S     0S     0S     0S -7777S     1S    11S     6S -7777S     0S     0S     0S
USW00024121           0S     0S     0C     0C -7777C     4C    41C    19S -7777S     0S     0S     0S
USW00024126           0R     0R     0R -7777R     4R    40R   163R   129R    15R -7777R     0R     0R
USW00024127           0S     0S     0S -7777S     5S    65S   221S   175S    27S -7777S     0S     0S
USW00024128           0C     0C     0C     0C -7777C    12C    77C    42C     2C     0C     0C     0C
USW00024130           0S     0S     0S     0S -7777S     1S     7S     5S -7777S     0S     0S     0S
USW00024131           0C     0C     0C -7777C     7C    44C   161C   134C    24C     1C     0C     0C
USW00024132           0S     0S     0R     0R -7777R     4R    38R    23R     2R     0S     0R     0R
USW00024133           0S     0S     0C     0C -7777C     5C    32C    22C     1C     0C     0C     0S
USW00024135           0S     0S     0S     0C     0C -7777C     3C     1C -7777C     0C     0C     0S
USW00024137           0S     0S     0S     0S -7777S     1S    11S     8S -7777S     0S     0S     0S
USW00024138           0R     0R     0R     0R -7777R     1R     7R     3R -7777R     0R     0R     0R
USW00024139           0S     0C     0C     0C -7777C -7777C     9S     3S -7777S     0S     0S     0S
USW00024141           0S     0S     0S -7777S     6S    28S   125S    99S    15S -7777S     0S     0S
USW00024143           0C     0C     0C -7777C -7777C     5C    30C    21C     2C -7777C     0C     0C
USW00024144           0S     0S     0S     0S -7777S     7S    49S    29S     2S     0S     0S     0S
USW00024145           0R     0S     0R     0R -7777R     2R    14R     8R -7777R     0R     0R     0R
USW00024148           0Q     0Q     0Q     0Q -7777Q     6Q    47Q    45Q     8Q -7777Q     0Q     0Q
USW00024149           0S     0S     0S -7777S     5S    24S   128S   116S    19S -7777S     0S     0S
USW00024150           0S     0S     0S     0S -7777S     1S    17S    10S     1S -7777S     0S     0S
USW00024151           0R     0R     0S     0S -7777S     4S    34R    17R -7777R     0S     0R     0R
USW00024152           0R     0R     0R     0R     0R     0R -7777R -7777R     0R     0R     0R     0R
USW00024153           0S     0S     0S     0S -7777S     3S    36C    20C -7777S     0S     0S     0S
USW00024154           0R     0R     0R     0R     0R -7777R     4R     2R     1R     0R     0R     0R
USW00024155           0C     0C     0C -7777C     3C    17C    91C    76C    10C -7777C     0C     0C
USW00024156           0S     0S     0S     0S -7777S     4S    34S    24S     1S     0S     0S     0S
USW00024157           0C     0C     0C -7777C     1C     8C    54C    48C     4C -7777C     0C     0C
USW00024159           0S     0S     0S     0S -7777S     5S    36S    27S     1S     0S     0S     0S
USW00024160           0S     0S     0R -7777R     6R    28R   142R   120R    20R -7777R     0S     0S
USW00024162           0R     0S     0R -7777S     5S    39S   160S   100S     6S -7777S     0S     0S
USW00024163           0R     0R     0R -7777R     5R    21R    94R    83R     7R -7777R     0R     0R
USW00024164           0R     0R     0R     0R     0R -7777R     1R     1R     0R     0R     0R     0R
USW00024172           0R     0R     0R -7777R     6R    52R   172R   115R    12R -7777R     0R     0R
USW00024193           0C     0C     0C -7777C     7C    75S   232S   166S    22S -7777S     0S     0S
USW00024213           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00024215           0S     0S     0S     0S -7777S     3S    19S    11S     1S -7777S     0R     0R
USW00024216           0S     0S -7777S     3S    44S   155S   295S   233S   117S    21S -7777S     0S
USW00024217           0S     0S     0S     0S     0S -7777S     1S     1S     0S     0S     0S     0S
USW00024219           0S     0S     0S -7777S     5R    23S   110S    94S    14R -7777R     0S     0S
USW00024220           0R     0R     0R     0R     3R    14R    74R    62R     6R -7777R     0R     0R
USW00024221           0S     0S     0S -7777S -7777S     2S    15S    12S     1S -7777S     0S     0S
USW00024222           0R     0R     0R     0R -7777R     1R     4R     2R -7777R     0R     0R     0R
USW00024225           0R     0R     0R -7777R     5R    25R   112R   100R    23R -7777R     0R     0R
USW00024227           0C     0C     0C     0C -7777C     1C     5C     4C -7777C     0C     0C     0C
USW00024229           0S     0S     0S -7777S     1S     6S    34S    32S     6S -7777S     0S     0S
USW00024230           0S     0S     0S -7777S -7777S     2S    16S    12S     1S     0R     0S     0S
USW00024231           0R     0R     0R     0R     3R     5R    37R    36R     7R -7777R     0R     0R
USW00024232           0S     0S     0S -7777S     1S     3S    21S    17S     2S -7777S     0S     0S
USW00024233           0C     0C     0C     0C -7777C     3C    12C     8C     1C     0C     0C     0C
USW00024234           0R     0R     0R     0R -7777R     3R    13R     8R -7777R     0R     0R     0R
USW00024235           0R     0R     0R -7777R     2R     3R    15R    19R    11R     1R     0R     0R
USW00024237           0R     0R     0R -7777R -7777R     1R     4R     6R     1R     0R     0R     0R
USW00024241           0R     0R     0R     0R -7777R     1R     5R     5R -7777R     0R     0R     0R
USW00024242           0S     0S     0S -7777S     1R     5S    23S    23S     4S -7777S     0S     0S
USW00024243           0S     0S     0S -7777S     2S    11S    59S    41S     2S     0S     0S     0S
USW00024255           0S     0S     0S     0S     0S     0S -7777S -7777S     0S     0S     0S     0S
USW00024257           0R     0R -7777R     2R    46R   158R   319R   247R   110R    16R -7777R     0R
USW00024259           0R     0R     0R     0R -7777R     7R    72R    44R     1R     0R     0R     0R
USW00024281           0R     0R     0R     0R     0R     2R     7R     6R     1R     0R     0R     0R
USW00024283           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00024284           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00024285           0S     0S     0S     0S     0R     0R     0R     0R     0S     0S     0S     0S
USW00024286           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025308           0C     0C     0C     0C     0C -7777C -7777C -7777C     0C     0C     0C     0C
USW00025309           0C     0C     0C     0C     0C     0C     0C     0C     0S     0S     0S     0C
USW00025322           0R     0R     0R     0R     0R     0R     0R -7777R     0R     0R     0R     0R
USW00025323           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025325           0S     0S     0R     0S     0S     0S -7777S -7777S     0C     0S     0S     0S
USW00025329           0S     0R     0S     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025331           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025333           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0S
USW00025335           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025339           0C     0C     0C     0C     0C     0S     0S     0S     0S     0S     0S     0S
USW00025367           0R     0R     0R     0R     0R -7777R     1R     0R     0R     0R     0R     0R
USW00025501           0S     0S     0S     0S     0S -7777S -7777S     0S     0S     0S     0S     0S
USW00025503           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C
USW00025506           0C     0C     0C     0C     0C -7777C -7777C     0C     0S     0C     0C     0S
USW00025507           0C     0C     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00025516           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025624           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C
USW00025628           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00025704           0P     0P     0P     0P     0P     0P     0P     0P     0P     0P     0P     0P
USW00025713           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C
USW00026401           0R     0R     0R     0R     0R     0R -7777R     0R     0R     0R     0R     0R
USW00026409           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00026410           0S     0C     0C     0C     0C -7777C -7777C     0C     0C     0S     0C     0C
USW00026411           0C     0C     0C     0C -7777C     2C     1C -7777C     0C     0C     0C     0C
USW00026412           0S     0S     0S     0S     0S -7777S -7777S     0S     0S     0S     0C     0C
USW00026415           0S     0S     0S     0C     0S -7777S -7777C -7777S     0C     0C     0C     0S
USW00026422           0C     0C     0C     0S -7777S -7777S -7777C -7777S     0S     0C     0S     0S
USW00026425           0C     0C     0C     0S     0C -7777C -7777C     0C     0C     0C     0C     0C
USW00026435           0S     0S     0R     0S     0R -7777S -7777R -7777R     0R     0R     0S     0S
USW00026438           0S     0C     0C     0S     0C -7777C -7777C -7777C     0C     0C     0C     0C
USW00026442           0C     0C     0C     0C     0C     0C -7777C -7777C     0C     0C     0C     0C
USW00026451           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C
USW00026491           0R     0R     0R     0R     0R -7777R     0R     0R     0R     0R     0R     0R
USW00026492           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00026494           0Q     0Q     0Q     0Q     0Q -7777Q -7777Q     0Q     0Q     0Q     0Q     0Q
USW00026502           0R     0R     0R     0R     0R     0R -7777R     0R     0R     0R     0R     0R
USW00026508           0R     0R     0R     0R     0R -7777R     1R     0R     0R     0R     0R     0R
USW00026510           0C     0C     0C     0C     0C -7777C -7777C -7777C     0C     0S     0C     0S
USW00026512           0Q     0Q     0Q     0Q     0Q -7777Q     1Q     0Q     0Q     0Q     0Q     0Q
USW00026514           0S     0S     0R     0S     0S -7777S -7777S     0S     0S     0S     0S     0R
USW00026523           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00026528           0C     0C     0C     0C     0C -7777C -7777C -7777C     0C     0S     0C     0C
USW00026529           0C     0S     0C     0S     0S     1C -7777C -7777C     0C     0C     0C     0C
USW00026533           0C     0C     0C     0C     0C     1C     1C -7777C     0C     0C     0C     0C
USW00026615           0C     0C     0C     0C     0C     0C     0C -7777C     0C     0C     0C     0C
USW00026616           0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C     0C
USW00026617           0C     0C     0C     0C     0C     0C -7777C     0C     0C     0C     0C     0C
USW00026618           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00026642           0R     0R     0R     0R     0R -7777R     1R     0R     0R     0R     0R     0R
USW00027406           0R     0R     0R     0R     0R     0R     0R     0R     0R     0P     0R     0R
USW00027502           0C     0C     0S     0C     0C     0C     0C     0C     0C     0S     0C     0C
USW00027503           0R     0R     0P     0R     0R     0R     0R     0R     0R     0P     0R     0R
USW00027515           0R     0R     0R     0R     0R     0R     0R     0R     0R     0P     0R     0R
USW00045715           0P     0P     0P     0P     0P     0P     0P     0P     0P     0P     0P     0P
USW00053119           0R     0R -7777R     4R    45R   110R   225R   197R    90R     8R     0R     0R
USW00053120           0R     0R     0R -7777R     2R    12R    59R    93R    49R     6R -7777R     0R
USW00053121           0R     0R     0R     0R     0R     1R     6R     7R     7R -7777R -7777R     0R
USW00053123           0R     0R     1R    23R   169R   396R   598R   533R   283R    43R -7777R     0R
USW00053131           0Q -7777Q     4Q    19Q   157Q   373Q   459Q   394Q   282Q    64Q     3Q     0Q
USW00053132           0Q     0Q     0Q     0Q    10Q    93Q   148Q    68Q    29Q -7777Q     0Q     0Q
USW00053136           0Q     0Q     0Q     3Q    48Q   198Q   382Q   339Q   137Q     7Q     0Q     0Q
